Date;Time;<Дятьковская> СВ 110 кВ Ia;<Дятьковская> СР-1 110;
06.01.2022;05:30:00.000;138.870;1.0;
06.01.2022;06:00:00.000;147.029;1.0;
06.01.2022;06:30:00.000;152.035;1.0;
06.01.2022;07:00:00.000;142.957;1.0;
06.01.2022;07:30:00.000;154.266;1.0;
06.01.2022;08:00:00.000;159.950;1.0;
06.01.2022;08:30:00.000;157.266;1.0;
06.01.2022;09:00:00.000;154.951;1.0;
06.01.2022;09:30:00.000;154.523;1.0;
06.01.2022;10:00:00.000;157.562;1.0;
06.01.2022;10:30:00.000;147.608;1.0;
06.01.2022;11:00:00.000;153.256;1.0;
06.01.2022;11:30:00.000;151.787;1.0;
06.01.2022;12:00:00.000;153.750;1.0;
06.01.2022;12:30:00.000;151.366;1.0;
06.01.2022;13:00:00.000;152.675;1.0;
06.01.2022;13:30:00.000;151.951;1.0;
06.01.2022;14:00:00.000;147.513;1.0;
06.01.2022;14:30:00.000;150.430;1.0;
06.01.2022;15:00:00.000;147.619;1.0;
06.01.2022;15:30:00.000;149.424;1.0;
06.01.2022;16:00:00.000;152.971;1.0;
06.01.2022;16:30:00.000;148.880;1.0;
06.01.2022;17:00:00.000;146.006;1.0;
06.01.2022;17:30:00.000;154.716;1.0;
06.01.2022;18:00:00.000;142.656;1.0;
06.01.2022;18:30:00.000;144.910;1.0;
06.01.2022;19:00:00.000;143.064;1.0;
06.01.2022;19:30:00.000;149.667;1.0;
06.01.2022;20:00:00.000;155.210;1.0;
06.01.2022;20:30:00.000;146.343;1.0;
06.01.2022;21:00:00.000;135.698;1.0;
06.01.2022;21:30:00.000;129.501;1.0;
06.01.2022;22:00:00.000;122.415;1.0;
06.01.2022;22:30:00.000;110.893;1.0;
06.01.2022;23:00:00.000;102.908;1.0;
06.01.2022;23:30:00.000;94.546;1.0;
07.01.2022;00:00:00.000;87.830;1.0;
07.01.2022;00:30:00.000;87.039;1.0;
07.01.2022;01:00:00.000;94.923;1.0;
07.01.2022;01:30:00.000;93.090;1.0;
07.01.2022;02:00:00.000;92.295;1.0;
07.01.2022;02:30:00.000;98.535;1.0;
07.01.2022;03:00:00.000;112.485;1.0;
07.01.2022;03:30:00.000;116.004;1.0;
07.01.2022;04:00:00.000;130.450;1.0;
07.01.2022;04:30:00.000;127.127;1.0;
07.01.2022;05:00:00.000;129.429;1.0;
07.01.2022;05:30:00.000;136.736;1.0;
07.01.2022;06:00:00.000;144.348;1.0;
07.01.2022;06:30:00.000;145.887;1.0;
07.01.2022;07:00:00.000;148.981;1.0;
07.01.2022;07:30:00.000;150.465;1.0;
07.01.2022;08:00:00.000;156.448;1.0;
07.01.2022;08:30:00.000;147.486;1.0;
07.01.2022;09:00:00.000;147.709;1.0;
07.01.2022;09:30:00.000;159.476;1.0;
07.01.2022;10:00:00.000;149.580;1.0;
07.01.2022;10:30:00.000;154.177;1.0;
07.01.2022;11:00:00.000;146.536;1.0;
07.01.2022;11:30:00.000;150.518;1.0;
07.01.2022;12:00:00.000;151.592;1.0;
07.01.2022;12:30:00.000;151.307;1.0;
07.01.2022;13:00:00.000;151.545;1.0;
07.01.2022;13:30:00.000;153.821;1.0;
07.01.2022;14:00:00.000;154.140;1.0;
07.01.2022;14:30:00.000;152.637;1.0;
07.01.2022;15:00:00.000;154.346;1.0;
07.01.2022;15:30:00.000;152.972;1.0;
07.01.2022;16:00:00.000;152.985;1.0;
07.01.2022;16:30:00.000;151.146;1.0;
07.01.2022;17:00:00.000;158.724;1.0;
07.01.2022;17:30:00.000;152.486;1.0;
07.01.2022;18:00:00.000;157.202;1.0;
07.01.2022;18:30:00.000;152.204;1.0;
07.01.2022;19:00:00.000;146.860;1.0;
07.01.2022;19:30:00.000;160.826;1.0;
07.01.2022;20:00:00.000;160.626;1.0;
07.01.2022;20:30:00.000;153.993;1.0;
07.01.2022;21:00:00.000;152.430;1.0;
07.01.2022;21:30:00.000;146.613;1.0;
07.01.2022;22:00:00.000;146.179;1.0;
07.01.2022;22:30:00.000;132.362;1.0;
07.01.2022;23:00:00.000;130.515;1.0;
07.01.2022;23:30:00.000;113.928;1.0;
08.01.2022;00:00:00.000;115.001;1.0;
08.01.2022;00:30:00.000;119.690;1.0;
08.01.2022;01:00:00.000;97.077;1.0;
08.01.2022;01:30:00.000;94.128;1.0;
08.01.2022;02:00:00.000;95.018;1.0;
08.01.2022;02:30:00.000;101.501;1.0;
08.01.2022;03:00:00.000;116.275;1.0;
08.01.2022;03:30:00.000;123.969;1.0;
08.01.2022;04:00:00.000;142.283;1.0;
08.01.2022;04:30:00.000;140.097;1.0;
08.01.2022;05:00:00.000;142.783;1.0;
08.01.2022;05:30:00.000;145.093;1.0;
08.01.2022;06:00:00.000;155.021;1.0;
08.01.2022;06:30:00.000;161.844;1.0;
08.01.2022;07:00:00.000;159.103;1.0;
08.01.2022;07:30:00.000;158.242;1.0;
08.01.2022;08:00:00.000;163.474;1.0;
08.01.2022;08:30:00.000;159.762;1.0;
08.01.2022;09:00:00.000;156.505;1.0;
08.01.2022;09:30:00.000;160.378;1.0;
08.01.2022;10:00:00.000;154.242;1.0;
08.01.2022;10:30:00.000;154.724;1.0;
08.01.2022;11:00:00.000;162.253;1.0;
08.01.2022;11:30:00.000;158.306;1.0;
08.01.2022;12:00:00.000;154.127;1.0;
08.01.2022;12:30:00.000;157.505;1.0;
